Artist,Song,Mood
Kings Of Convenience,Leaning Against the Wall,pos
The Supremes,Come See About Me,pos
Type O Negative,The Profit of Doom,neg
A Fine Frenzy,What I Wouldn't Do,pos
JosÃ© GonzÃ¡lez,Cycling Trivialities,pos
AFI,...but home is nowhere,neg
The Strokes,12:51,pos
Lightspeed Champion,Dry Lips,pos
Bob Marley,All in One,pos
Augie March,There Is No Such Place,pos
Organized Konfusion,Stress,neg
The Mamas & The Papas,Twelve Thirty (Young Girls Are Coming To The Canyon),pos
Wu-Tang Clan,Wu-Tang Clan Ain't Nuthing Ta F' Wit,neg
The Polyphonic Spree,Section 14 (Two Thousand Places),pos
James Taylor,You've Got a Friend,pos
Snow Patrol,Chocolate,neg
Shawn Colvin,Another Long One,neg
Kelly Rowland,Like This,pos
M.I.A.,Jimmy,pos
Brad Paisley,When I Get Where I'm Going,neg
Kings Of Leon,Day Old Blues,neg
Bread,Make It With You (LP Version),pos
Floetry,Lay Down,pos
Leonard Cohen,The Old Revolution,neg
Nine Inch Nails,In This Twilight,neg
Lily Allen,Friday Night,pos
Enya,Amid the Falling Snow,pos
Black Flag,Gimmie Gimmie Gimmie,neg
"""Weird Al"" Yankovic",Eat It,pos
Saosin,It's So Simple,neg
Franz Ferdinand,Take Me Out,pos
Theory of a Deadman,Santa Monica,neg
Thursday,Autumn Leaves Revisited,neg
Sandi Thom,Lonely Girl,neg
The Kills,I Call It Art,neg
The Misfits,The Haunting,neg
Maxwell,Get To Know Ya,pos
Architecture in Helsinki,Wishbone,pos
Jenny Owen Youngs,Hot In Herre,pos
Mamonas Assassinas,Uma Arlinda Mulher,pos
Moby,Say It's All Mine,neg
Dave Matthews Band,You Never Know,pos
Jim Sturgess,All My Loving,pos
The Cat Empire,The Car Song,pos
Brazilian Girls,Pussy,pos
Submersed,You Run,neg
Carla Bruni,Le Ciel Dans Une Chambre,pos
Jewel,Near You Always,pos
The Beatles,Lady Madonna,pos
A Tribe Called Quest,Electric Relaxation,pos
50 Cent,Ski Mask Way,neg
Daft Punk,Aerodynamic (Daft Punk Remix),pos
Katatonia,Follower,neg
Chicane,Offshore,pos
Silje Nergaard,Two Sleepy People,pos
Bent,Swollen,pos
The Rolling Stones,Citadel,neg
Tiamat,Prey,neg
Marc Broussard,Going Home (Album Version),neg
Public Enemy,Bring the Noise,neg
Lil' Romeo,Don't Want To,neg
Sting,Englishman In New York,pos
Ordo Equilibrio,"Victory starts here, in the Land of Completion",neg
Emma Bunton,Take My Breath Away,pos
Backstreet Boys,Just Want You To Know,pos
Liars,Proud Evolution,neg
BjÃ¶rk,Bachelorette,neg
Robin Thicke,I Need Love,pos
Ephel Duath,Imploding,neg
Frou Frou,Must Be Dreaming,pos
Spanky & Our Gang,Like To Get To Know You,pos
New Order,Sub-Culture,neg
Thrice,A Song For Milly Michaelson,neg
MxPx,Drum Machine Joy,neg
MGMT,Time To Pretend,pos
OutKast,Pink & Blue,pos
We Are Scientists,What's The Word,neg
Andrew Gold,Thank You for Being a Friend,pos
Feist,I Feel It All,pos
El Presidente,Turn This Thing Around,pos
Big Brovaz,Baby Boy,pos
The Organ,There Is Nothing I Can Do,neg
Casiotone For The Painfully Alone,White Jetta,neg
Francis Dunnery,Good Life,neg
Apocalyptica,Bittersweet,neg
Brownsville Station,Smokin' in the Boy's Room,neg
Barbra Streisand,I Never Meant to Hurt You,neg
Bob Carlisle,Man Of No Reputation,neg
of Montreal,The Party's Crashing Us,pos
Elliott Smith,Waltz #1,neg
Megadeth,Crush 'Em,neg
Pink Martini,Hey Eugene,pos
Gabriella Cilmi,Sit In The Blues,pos
Underworld,Best Mamgu Ever,pos
Sade,Cherish The Day,pos
Anathema,A Dying Wish,neg
Muse,Stockholm Syndrome,neg
LL Cool J,Mama Said Knock You Out,neg
Depeche Mode,Halo,neg
Sheb Wooley,Purple People Eater,pos
Steppenwolf,Born To Be Wild,pos
The Knife,Still Light,neg
Marvin Gaye,Let's Get It On,pos
Black Rebel Motorcycle Club,Suddenly,neg
Nine Inch Nails,Metal,neg
Pinback,Some Voices,pos
Snow Patrol,Crack The Shutters,pos
Rufus Wainwright,Dinner At Eight,neg
Good Charlotte,Emotionless,neg
Passion Pit,The Reeling,pos
Man Man,Feathers,neg
Cat Power,The Coat Is Always On,neg
Me'Shell NdegÃ©Ocello,Elliptical,pos
Marilyn Manson,Angel With The Scabbed Wings,neg
Groove Armada,But I Feel Good,pos
The Killers,Joy Ride,pos
Boz Scaggs,We're All Alone,pos
Rival Schools,Undercovers On,neg
The Airborne Toxic Event,Something New,neg
Ministry,Just One Fix (Album Version),neg
Bloodhound Gang,Foxtrot Uniform Charlie Kilo,pos
Norah Jones,Chasing Pirates,pos
Atlantic Starr,Always,pos
"Warwick, Dionne",Walk on By,neg
Slayer,Sex. Murder. Art.,neg
Colbie Caillat,Midnight Bottle,pos
"Thomas, Rufus",Walking the Dog,neg
Cake,Italian Leather Sofa,pos
Jim Bryson,Somewhere Else,neg
Celtic Frost,A Dying God Coming Into Human Flesh,neg
Foy Vance,Homebird,pos
Britney Spears,Anticipating,pos
Des'ree,You Gotta Be,pos
Nick Cave and the Bad Seeds,Oh My Lord,neg
Jack's Mannequin,Holiday From Real,pos
Alicia Keys,Rock Wit U,pos
Robbie Williams,Things,pos
The All-American Rejects,Don't Leave Me,pos
Jack Johnson,Losing Keys,pos
Tenacious D,Classico,pos
Maxwell,Ascension (Don't Ever Wonder),pos
Lindsay Lohan,Speak,pos
BeyoncÃ©,Listen,neg
Bee Gees,How Can You Mend a Broken Heart?,neg
Bent,Beautiful Otherness,pos
Kate Nash,Pumpkin Soup,pos
Lily Allen,Not Fair,pos
Crystal Castles,Crimewave (Crystal Castles vs HEALTH),pos
Tom McRae,My Vampire Heart,neg
The Ink Spots,Maybe,pos
Balligomingo,Wild Butterfly,pos
Neurosis,The Tide,neg
Avril Lavigne,Slipped Away,neg
Bent,I Love My Man,pos
David Sylvian,Maria,neg
Me'Shell NdegÃ©Ocello,Lovely Lovely,pos
Janet Jackson,Someone To Call My Lover,pos
Bay City Rollers,Saturday Night,pos
Jimi Hendrix Experience,Fire,neg
Moments In Grace,Broken Promises (album version),neg
Agnostic Front,Undertow,neg
Wesley Willis,I Wupped Batman's Ass,pos
Abba,Mamma Mia,pos
Chris Brown,Yo (Excuse Me Miss),pos
The Cooper Temple Clause,The Devil Walks In The Sand,neg
Patrick Wolf,The Childcatcher,neg
Eliane Elias,The More I See You,neg
Panzer AG,When Death Embrace Me,neg
David Bowie,Afraid,neg
Corinne Bailey Rae,Enchantment,pos
Oasis,The Girl In The Dirty Shirt,pos
Pursuit Of Happiness,Forbidden Fruit,neg
Hootie & The Blowfish,Only Wanna Be With You,pos
Neneh Cherry,Manchild,pos
The Old Dead Tree,We Cry As One,neg
The Gathering,A Life All Mine,neg
Dishwalla,Moisture,neg
PJ Harvey,Dry,neg
My Dying Bride,Love's Intolerable Pain,neg
Sugar Minott,Good Thing Going,pos
