song_id,danceability,energy,key,loudness,mode,explicit,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4XwQVdZA3BC3fhIzeNsgZ2,0.677,0.189,0.0,-17.957,1.0,0.0,0.0397,0.941,0.926,0.104,0.26,143.127
307kcWJQNMdiYYKj1LgClU,0.732,0.506,7.0,-11.735,1.0,0.0,0.0462,0.688,1.04e-06,0.146,0.867,126.325
6venqrqaUzmWD2kGa8YirO,0.614,0.745,2.0,-6.459,1.0,0.0,0.0399,0.376,0.00101,0.0977,0.407,115.175
618rtDxtcmKIv4Yh2EVBUB,0.534,0.324,11.0,-9.875,1.0,0.0,0.035,0.757,0.808,0.0931,0.137,109.089
49aVAeHo288tTTbVGu6xGa,0.315,0.725,6.0,-6.114,0.0,0.0,0.0896,0.0188,1.57e-05,0.0872,0.191,175.0
7ix2s0zIZrsVzL6vCYLvJA,0.515,0.619,1.0,-8.456,0.0,0.0,0.0378,0.0638,0.431,0.155,0.807,150.962
2rAMXhwF1Fw35VAALrUdKi,0.448,0.651,0.0,-9.116,1.0,0.0,0.0273,0.552,0.241,0.11,0.401,146.249
02B9AsAVnaLQgGKv5TPjfH,0.825,0.598,5.0,-7.387,1.0,0.0,0.0743,0.0765,0.246,0.323,0.932,90.991
5JLy9IPZhFwmPBlPjcqDL0,0.455,0.274,9.0,-13.015,1.0,0.0,0.03,0.904,0.000514,0.115,0.613,77.823
2nmteiJeK6RAIGH3pL9Pmh,0.553,0.712,1.0,-5.522,1.0,0.0,0.0288,0.322,0.0,0.357,0.48,113.537
57TF9qvcZ6j7DVJK58fLkF,0.247,0.643,5.0,-8.66,1.0,0.0,0.0368,0.297,0.0,0.218,0.27,79.528
69l8nFPu0LWmnoJX7YSVYc,0.695,0.282,9.0,-15.359,1.0,0.0,0.0295,0.681,0.0267,0.0767,0.445,91.681
3Kh58CfPsfIl8XkCEKWbNf,0.575,0.813,2.0,-4.34,1.0,0.0,0.0318,0.000542,0.0032,0.131,0.422,118.161
3MVEGeAitdvl2gJMbnbZW4,0.67,0.463,8.0,-12.828,1.0,0.0,0.0334,0.494,0.0,0.0427,0.731,105.553
3sfydNh0QQAdnIAtDVG16H,0.676,0.73,1.0,-5.963,1.0,0.0,0.267,0.00193,0.0,0.0627,0.489,178.117
60r0mEqH580d1kYWGeEpwM,0.689,0.807,6.0,-4.551,0.0,0.0,0.0318,0.00258,1.43e-06,0.0971,0.822,124.278
3VLCtStwYsAL4LKZgeUvy3,0.52,0.379,0.0,-9.906,1.0,0.0,0.0279,0.619,1.85e-06,0.108,0.208,85.934
5n2baMkrm41hmkH6zLIcNh,0.502,0.266,4.0,-9.76,1.0,0.0,0.0702,0.875,0.0,0.105,0.0663,85.626
66dJRYs9IL5t4GjdydBxfr,0.607,0.333,5.0,-12.788,0.0,0.0,0.0773,0.026,0.0,0.121,0.152,89.955
5xTqhUcwPm8BSS8h7m3fYr,0.324,0.168,4.0,-16.57,1.0,0.0,0.042,0.926,0.0224,0.132,0.476,173.41
2VJkxKMVQLcdf0ALc2XvSO,0.481,0.752,2.0,-6.152,1.0,0.0,0.0632,0.0456,0.439,0.174,0.142,109.99
0v8bPECK6FcZ5uwipUn3MX,0.82,0.838,1.0,-5.265,0.0,1.0,0.0322,0.129,1.39e-05,0.18,0.95,127.59
5hR0WncJoOc847u86vfpqb,0.424,0.233,1.0,-12.333,1.0,0.0,0.0288,0.784,0.0884,0.167,0.258,96.658
5fFpjmdr07PXjlwQLhz8xf,0.568,0.604,1.0,-13.473,1.0,0.0,0.234,0.0528,0.196,0.292,0.416,99.071
0WuYuWhLws8VahMy2zLLRJ,0.767,0.811,7.0,-8.548,1.0,0.0,0.0766,0.0866,0.0,0.0684,0.858,147.423
4amcY5vhp2Z40EhNVa2xHl,0.312,0.943,6.0,-3.368,0.0,0.0,0.0554,4.75e-05,0.378,0.237,0.504,199.981
20I8RduZC2PWMWTDCZuuAN,0.277,0.663,4.0,-8.821,0.0,0.0,0.0377,0.000409,0.00051,0.136,0.527,104.561
