Artist,Song,Mood,song_id
Kings Of Convenience,Leaning Against the Wall,pos,4XwQVdZA3BC3fhIzeNsgZ2
The Supremes,Come See About Me,pos,307kcWJQNMdiYYKj1LgClU
Type O Negative,The Profit of Doom,neg,
A Fine Frenzy,What I Wouldn't Do,pos,6venqrqaUzmWD2kGa8YirO
JosÃ© GonzÃ¡lez,Cycling Trivialities,pos,618rtDxtcmKIv4Yh2EVBUB
AFI,...but home is nowhere,neg,49aVAeHo288tTTbVGu6xGa
The Strokes,12:51,pos,7ix2s0zIZrsVzL6vCYLvJA
Lightspeed Champion,Dry Lips,pos,2rAMXhwF1Fw35VAALrUdKi
Bob Marley,All in One,pos,02B9AsAVnaLQgGKv5TPjfH
Augie March,There Is No Such Place,pos,5JLy9IPZhFwmPBlPjcqDL0
Organized Konfusion,Stress,neg,
The Mamas & The Papas,Twelve Thirty (Young Girls Are Coming To The Canyon),pos,2nmteiJeK6RAIGH3pL9Pmh
Wu-Tang Clan,Wu-Tang Clan Ain't Nuthing Ta F' Wit,neg,
The Polyphonic Spree,Section 14 (Two Thousand Places),pos,57TF9qvcZ6j7DVJK58fLkF
James Taylor,You've Got a Friend,pos,69l8nFPu0LWmnoJX7YSVYc
Snow Patrol,Chocolate,neg,3Kh58CfPsfIl8XkCEKWbNf
Shawn Colvin,Another Long One,neg,3MVEGeAitdvl2gJMbnbZW4
Kelly Rowland,Like This,pos,3sfydNh0QQAdnIAtDVG16H
M.I.A.,Jimmy,pos,60r0mEqH580d1kYWGeEpwM
Brad Paisley,When I Get Where I'm Going,neg,3VLCtStwYsAL4LKZgeUvy3
Kings Of Leon,Day Old Blues,neg,5n2baMkrm41hmkH6zLIcNh
Bread,Make It With You (LP Version),pos,
Floetry,Lay Down,pos,66dJRYs9IL5t4GjdydBxfr
Leonard Cohen,The Old Revolution,neg,5xTqhUcwPm8BSS8h7m3fYr
Nine Inch Nails,In This Twilight,neg,2VJkxKMVQLcdf0ALc2XvSO
Lily Allen,Friday Night,pos,0v8bPECK6FcZ5uwipUn3MX
Enya,Amid the Falling Snow,pos,5hR0WncJoOc847u86vfpqb
Black Flag,Gimmie Gimmie Gimmie,neg,5fFpjmdr07PXjlwQLhz8xf
"""Weird Al"" Yankovic",Eat It,pos,0WuYuWhLws8VahMy2zLLRJ
Saosin,It's So Simple,neg,4amcY5vhp2Z40EhNVa2xHl
Franz Ferdinand,Take Me Out,pos,20I8RduZC2PWMWTDCZuuAN
Theory of a Deadman,Santa Monica,neg,03C0lOgIOKlsJpaF5KtWDE
Thursday,Autumn Leaves Revisited,neg,0nty9GkUJ6CD4Uj60IFT4B
Sandi Thom,Lonely Girl,neg,3aVIweKtbH6rCvEgwI17tP
The Kills,I Call It Art,neg,725bpSl7L8MnL1V7tfaMk2
The Misfits,The Haunting,neg,
Maxwell,Get To Know Ya,pos,1QGO7udymj4xp6w8jbpiF8
Architecture in Helsinki,Wishbone,pos,7d3xvNSMp9gyGzLR0jMb3C
Jenny Owen Youngs,Hot In Herre,pos,6EmwBRFDI25uukoQ9jCU6J
Mamonas Assassinas,Uma Arlinda Mulher,pos,4pR17ajjeY20Iu9FpKLBND
Moby,Say It's All Mine,neg,4tRyOhcmwo5Sn6n8cTheHr
Dave Matthews Band,You Never Know,pos,3Io1ccnHrEmhJODEvySuFY
Jim Sturgess,All My Loving,pos,7H5Z1do4yZfAO9AL8TAx9j
The Cat Empire,The Car Song,pos,70DKTWxppgsSB8CNKIXNjv
Brazilian Girls,Pussy,pos,0nghE8iUqF4SkTaMqQNxiG
Submersed,You Run,neg,62JSN8GUy41m30XXEvsJGR
Carla Bruni,Le Ciel Dans Une Chambre,pos,14iOpLqTzvoJyfyIXPOPST
Jewel,Near You Always,pos,0zkoZ4af2wJVnxDrUKcjAB
The Beatles,Lady Madonna,pos,1raiIrqaqRAqZmQWZlLuBd
A Tribe Called Quest,Electric Relaxation,pos,0eEXcw3JLVXcRxYrVYMy68
50 Cent,Ski Mask Way,neg,0BRBDRdjgP4Iw8coBDAeeT
Daft Punk,Aerodynamic (Daft Punk Remix),pos,37YWwmlRl1GonSwjRuOiEq
Katatonia,Follower,neg,04iRqfAI7mbMIx5UifLKq7
Chicane,Offshore,pos,4jy7tsWx2FZjXspLV5uZkQ
Silje Nergaard,Two Sleepy People,pos,0fodztaFTiApMhI277CqnR
Bent,Swollen,pos,59irMF6BIyxXmjuPgVSCsj
The Rolling Stones,Citadel,neg,4GOpMcPnnF9mtHNYgUPep6
Tiamat,Prey,neg,66m5ZrRFCLOZ5TL7uoesbq
Marc Broussard,Going Home (Album Version),neg,
Public Enemy,Bring the Noise,neg,6jg8Y7gArYgZeXUBPMre0V
Lil' Romeo,Don't Want To,neg,1qpOt8txabJJiijTYIj6fy
Sting,Englishman In New York,pos,4KFM3A5QF2IMcc6nHsu3Wp
Ordo Equilibrio,"Victory starts here, in the Land of Completion",neg,
Emma Bunton,Take My Breath Away,pos,0wVPsQNQ4tsjTTf2LIdOA7
Backstreet Boys,Just Want You To Know,pos,17lJlBTeJZEC5r4m8kqrE4
Liars,Proud Evolution,neg,7iM1zwamb0tom7x526ttFh
BjÃ¶rk,Bachelorette,neg,
Robin Thicke,I Need Love,pos,2JPyd83rh6dwZ5E33RU0mz
Ephel Duath,Imploding,neg,76frtC8uWZqhfaLySZt4Kj
Frou Frou,Must Be Dreaming,pos,6rT1BTeBQvUW7U9JuuGTWv
Spanky & Our Gang,Like To Get To Know You,pos,7KwJMZZtLmd47Bwa0CPKXA
New Order,Sub-Culture,neg,0rspgEbX7uoVjrJrv6ME8q
